ID	DOCULECT	CONCEPT	TOKENS
33153	wold-SeliceRomani	itch	h a n d ʒ i b e
33154	wold-SeliceRomani	blister	h o l a g a
33155	wold-SeliceRomani	boilofskin	h i m l o
33156	wold-SeliceRomani	pus	g e ɲː o
33157	wold-SeliceRomani	scar	j e l o
33158	wold-SeliceRomani	cure	s a s tʲ a r e n
33159	wold-SeliceRomani	physician	o r v o ʃ i
33160	wold-SeliceRomani	medicine	o r v o ʃː a g o
33161	wold-SeliceRomani	medicine	dʲ o cː e r i
33162	wold-SeliceRomani	poison	m i r g o
33163	wold-SeliceRomani	tired	f a r o t n o
33164	wold-SeliceRomani	rest	p i h e l i n e n
33165	wold-SeliceRomani	lazy	l u ʃ t a v o
33166	wold-SeliceRomani	bald	k o p a s n o
33167	wold-SeliceRomani	lame	b e n a v o
33168	wold-SeliceRomani	lame	b a n g o
33169	wold-SeliceRomani	deaf	k a ʃ u k o
33170	wold-SeliceRomani	mute	n i m a v o
33171	wold-SeliceRomani	blind	k o r o
33172	wold-SeliceRomani	drunk	m a t o
33173	wold-SeliceRomani	naked	n a n g o
33174	wold-SeliceRomani	eat	h a n
33175	wold-SeliceRomani	food	h a b e
33176	wold-SeliceRomani	cooked	t a d o
33177	wold-SeliceRomani	raw	j a l o
33178	wold-SeliceRomani	ripe	i r e t n o
33179	wold-SeliceRomani	rotten	p o ʃ v a t n o
33180	wold-SeliceRomani	drink	p i j e n
33181	wold-SeliceRomani	drink	kʰ a p a v e n
33182	wold-SeliceRomani	behungry	b o kʰ a j o n
33183	wold-SeliceRomani	famine	b o kʰ
33184	wold-SeliceRomani	bethirsty	t r u ʃ a j o n
33185	wold-SeliceRomani	bethirsty	o v e n + t r u ʃ a l o
33186	wold-SeliceRomani	suck	p i j e n
33187	wold-SeliceRomani	suck	c i d e n
33188	wold-SeliceRomani	chew	r a g i n e n
33189	wold-SeliceRomani	chew	ʒ u v a tʃ k a z i n e n
33190	wold-SeliceRomani	swallow	n a kʰ a v e n
33191	wold-SeliceRomani	choke	t a s a v e n
33192	wold-SeliceRomani	choke	t a sː a r e n
33193	wold-SeliceRomani	cooksomething	t a v e n
33194	wold-SeliceRomani	boilofliquid	k e r dʲ o l
33195	wold-SeliceRomani	roastorfry	p e k e n
33196	wold-SeliceRomani	bake	p e k e n
33197	wold-SeliceRomani	oven	p e tʲ a
33198	wold-SeliceRomani	oven	k e m e n c e
33199	wold-SeliceRomani	pot	p i r i
33200	wold-SeliceRomani	pot	ʃ e r p e ɲ o
33201	wold-SeliceRomani	kettle	p i r i
33202	wold-SeliceRomani	kettle	k a v e f e z o
33203	wold-SeliceRomani	pan	p a l a c i n k a ʃ i t o
33204	wold-SeliceRomani	dish	tʃ a r o
33205	wold-SeliceRomani	plate	t a ɲ i r i
33206	wold-SeliceRomani	bowl	tʃ a r o
33207	wold-SeliceRomani	jug	k o r ʃ o
33208	wold-SeliceRomani	cup	k u tʃ i
33209	wold-SeliceRomani	spoon	r o j
33210	wold-SeliceRomani	knifeforeating	tʃʰ u r i
33211	wold-SeliceRomani	fork	v e l l a
33212	wold-SeliceRomani	tongs	f o g o
33213	wold-SeliceRomani	meal	h a b e
33214	wold-SeliceRomani	breakfast	r e gː e l i
33215	wold-SeliceRomani	lunch	e b i d o
33216	wold-SeliceRomani	dinnersupper	v a tʃ o r a
33217	wold-SeliceRomani	peel	ʃ u ʒ a r e n
33218	wold-SeliceRomani	sieveorstrain	s i t a l i n e n
33219	wold-SeliceRomani	sieveorstrain	tʃ u j a r e n
33220	wold-SeliceRomani	scrape	ʃ u ʒ a r e n
33221	wold-SeliceRomani	scrape	p u c o l i n e n
33222	wold-SeliceRomani	mix	k e v e r i n e n
33223	wold-SeliceRomani	bread	m a r o
33224	wold-SeliceRomani	dough	k o v a s i
33225	wold-SeliceRomani	dough	h u m e r
33226	wold-SeliceRomani	knead	d a g a s t i n e n
33227	wold-SeliceRomani	knead	dʲ u r i n e n
33228	wold-SeliceRomani	flour	j a r o
33229	wold-SeliceRomani	grind	dʲ u r i n e n
33230	wold-SeliceRomani	grind	pʰ a g e r e n
33231	wold-SeliceRomani	grind	e l i n e n
33232	wold-SeliceRomani	mill	m l i n o
33233	wold-SeliceRomani	meat	m a s
33234	wold-SeliceRomani	sausage	g o j
33235	wold-SeliceRomani	sausage	k o b a s k i ɲ a
33236	wold-SeliceRomani	soup	z u m i
33237	wold-SeliceRomani	vegetables	z e tʃ i g o
33238	wold-SeliceRomani	bean	b a b o
33239	wold-SeliceRomani	potato	k r u m p j a
33240	wold-SeliceRomani	fruit	dʲ i m e tʃ o
33241	wold-SeliceRomani	bunch	tʃ o m o
33242	wold-SeliceRomani	fig	f i g a
33243	wold-SeliceRomani	grape	s e l l o
33244	wold-SeliceRomani	nut	a kʰ o r
33245	wold-SeliceRomani	olive	o l i v a
33246	wold-SeliceRomani	oilorganicsubstance	o l a j i
33247	wold-SeliceRomani	fatorganicsubstance	tʃ i k e n
33248	wold-SeliceRomani	salt	l o n
33249	wold-SeliceRomani	pepper	p e p ʃ o
33250	wold-SeliceRomani	chilipepper	p a p r i k a
33251	wold-SeliceRomani	honey	m i z a
33252	wold-SeliceRomani	sugar	c u k r o
33253	wold-SeliceRomani	milk	tʰ u d
33254	wold-SeliceRomani	drawmilk	p i ʃ e n
33255	wold-SeliceRomani	cheese	ʃ a j t o
33256	wold-SeliceRomani	cheese	tʲ i r a l
33257	wold-SeliceRomani	butter	tʲʰ i l
33258	wold-SeliceRomani	beverage	i t a l o
33259	wold-SeliceRomani	wine	m o l
33260	wold-SeliceRomani	beer	ʃ e r o
33261	wold-SeliceRomani	egg	t o j a ʃ i
33262	wold-SeliceRomani	egg	k a ɲʰ a j a r o
33263	wold-SeliceRomani	yolk	ʒ u t o
33264	wold-SeliceRomani	puton	u r dʲ e n
33265	wold-SeliceRomani	clothes	g a d a
33266	wold-SeliceRomani	tailor	s a b o
33267	wold-SeliceRomani	tailor	v a r o
33268	wold-SeliceRomani	cloth	a ɲ a g o
33269	wold-SeliceRomani	wool	dʲ a p j u ʃ n o + a ɲ a g o
33270	wold-SeliceRomani	wool	dʲ a p j u a ɲ a g o
33271	wold-SeliceRomani	linen	v a s o ɲ i
33272	wold-SeliceRomani	cotton	p a m u k o
33273	wold-SeliceRomani	silk	ʃ e j m o
33274	wold-SeliceRomani	fur	b u n d a
33275	wold-SeliceRomani	leather	c i p a
33276	wold-SeliceRomani	weave	k e t i n e n
33277	wold-SeliceRomani	sew	s i v e n
33278	wold-SeliceRomani	needleforsewing	s u
33279	wold-SeliceRomani	thread	c e r n a
33280	wold-SeliceRomani	dye	f e ʃ t i n e n
33281	wold-SeliceRomani	cloak	p a l a ʃ tʲ a
33282	wold-SeliceRomani	poncho	k e pː e ɲ i
33283	wold-SeliceRomani	ladder	l e t r a
33284	wold-SeliceRomani	dress	g a d a
33285	wold-SeliceRomani	coat	k a b a t o
33286	wold-SeliceRomani	shirt	g a d
33287	wold-SeliceRomani	collar	g a l l i r a
33288	wold-SeliceRomani	skirt	p a s t e r n i
33289	wold-SeliceRomani	trousers	h o l e v
33290	wold-SeliceRomani	stocking	z o k n i
33291	wold-SeliceRomani	stocking	h a r i ʃ ɲ a
33292	wold-SeliceRomani	stocking	f u s e k l a
33293	wold-SeliceRomani	shoe	t o p a n k a
33294	wold-SeliceRomani	shoe	tʃ u k a
33295	wold-SeliceRomani	boot	tʲ i r h a j
33296	wold-SeliceRomani	shoemaker	ʃ u s t e r i
33297	wold-SeliceRomani	headgear	k a l a p a
33298	wold-SeliceRomani	headgear	ʃ i p k a
33299	wold-SeliceRomani	belt	s i j a
33300	wold-SeliceRomani	glove	k e s tʲ u
33301	wold-SeliceRomani	veil	f a tʲ u l i
33302	wold-SeliceRomani	pocket	p o s i tʲ i
33303	wold-SeliceRomani	button	g o m b o
33304	wold-SeliceRomani	pin	ʃ p e n d l i k o
33305	wold-SeliceRomani	pin	g e m b e ʃ tʲ u
33306	wold-SeliceRomani	ornament	d i s o
33307	wold-SeliceRomani	jewel	ʃ p e r k o
33308	wold-SeliceRomani	ring	a n g r u s t i
33309	wold-SeliceRomani	bracelet	k e r p e l e c e
33310	wold-SeliceRomani	necklace	l a n c o
33311	wold-SeliceRomani	bead	m i r i k l i
33312	wold-SeliceRomani	bead	dʲ e n dʲ o
33313	wold-SeliceRomani	earring	f i n g o
33314	wold-SeliceRomani	headbandorheaddress	tʃ e l e n k a
33315	wold-SeliceRomani	tattoo	t e t o v a l a ʃ i
33316	wold-SeliceRomani	rag	ʒ e p k e n d o
33317	wold-SeliceRomani	rag	r o n dʲ o
33318	wold-SeliceRomani	rag	p a t a v o
33319	wold-SeliceRomani	towel	t e r i k e z o
33320	wold-SeliceRomani	comb	k a n g l i
33321	wold-SeliceRomani	comb	h u l a v e n
33322	wold-SeliceRomani	brush	k e f e
33323	wold-SeliceRomani	braid	k o n tʲ o
33324	wold-SeliceRomani	razor	b e r e t v a
33325	wold-SeliceRomani	ointment	k e n e tʃ e
33326	wold-SeliceRomani	soap	s a p u ɲ i
33327	wold-SeliceRomani	mirror	dʲ i k e r i
33328	wold-SeliceRomani	dwelllivereside	b e ʃ e n
33329	wold-SeliceRomani	house	kʰ e r
33330	wold-SeliceRomani	hut	g u ɲʰ o
33331	wold-SeliceRomani	tent	s t a n o
33332	wold-SeliceRomani	tent	ʃ a t o r i
33333	wold-SeliceRomani	yard	u d v a r a
33334	wold-SeliceRomani	cookhouse	k o ɲʰ a
33335	wold-SeliceRomani	room	s o b a
33336	wold-SeliceRomani	room	h e j ʃ i g o
33337	wold-SeliceRomani	door	v u d e r
33338	wold-SeliceRomani	door	k a p u t a
33339	wold-SeliceRomani	doorpost	f u t r o
33340	wold-SeliceRomani	doorpost	z a r u b ɲ a
33341	wold-SeliceRomani	doorpost	a j t o r a g a s t o
33342	wold-SeliceRomani	lock	z a r o
33343	wold-SeliceRomani	latch	r e t e z a
33344	wold-SeliceRomani	latch	k a l l a n tʲ u
33345	wold-SeliceRomani	key	k l u tʃ o
33346	wold-SeliceRomani	window	b l o k a
33347	wold-SeliceRomani	floor	p a l o
33348	wold-SeliceRomani	floor	pʰ u
33349	wold-SeliceRomani	floor	e m e l e t o
33350	wold-SeliceRomani	wallofhouse	f a l o
33351	wold-SeliceRomani	fireplace	k a n d a l l o
33352	wold-SeliceRomani	stove	k a j h a
33353	wold-SeliceRomani	stove	ʃ p o r h e l t o
33354	wold-SeliceRomani	chimney	k i m i ɲ i
33355	wold-SeliceRomani	bed	v o d r o
33356	wold-SeliceRomani	bed	tʰ a n
33357	wold-SeliceRomani	pillow	p e r n i c a
33358	wold-SeliceRomani	pillow	ʃ e r a n d
33359	wold-SeliceRomani	blanket	p o k r o c a
33360	wold-SeliceRomani	blanket	t a k a r o
33361	wold-SeliceRomani	blanket	p a p l a ɲ i
33362	wold-SeliceRomani	blanket	l a r i s a
33363	wold-SeliceRomani	chair	s e k o
33364	wold-SeliceRomani	table	k a f i d i
33365	wold-SeliceRomani	torchorlamp	l a m p a
33366	wold-SeliceRomani	torchorlamp	l a m p a ʃ i
33367	wold-SeliceRomani	torchorlamp	v i l l a l a m p a
33368	wold-SeliceRomani	candle	dʲ e r tʲ a
33369	wold-SeliceRomani	shelf	p o c o
33370	wold-SeliceRomani	shelf	p o l i tʃ k a
33371	wold-SeliceRomani	shelf	r e g a l i
33372	wold-SeliceRomani	trough	k o p a n a
33373	wold-SeliceRomani	roof	s e r h a
33374	wold-SeliceRomani	beam	g e r e n d a
33375	wold-SeliceRomani	post	o s l o p o
33376	wold-SeliceRomani	board	d e s k a
33377	wold-SeliceRomani	arch	k l e n b a
33378	wold-SeliceRomani	mason	k e m i v e ʃ i
33379	wold-SeliceRomani	brick	t e g l a
33380	wold-SeliceRomani	mortarbinder	m a l t a
33381	wold-SeliceRomani	adobe	v a l k a
33382	wold-SeliceRomani	farmer	g a z d a
33383	wold-SeliceRomani	farmer	j e z e dʲ a k o
33384	wold-SeliceRomani	field	pʰ u
33385	wold-SeliceRomani	garden	b a r
33386	wold-SeliceRomani	fence	k e r i t i ʃ i
33387	wold-SeliceRomani	ditch	j a r k o
33388	wold-SeliceRomani	plough	s a n t i n e n
33389	wold-SeliceRomani	dig	k a p a l i n e n
33390	wold-SeliceRomani	spade	a ʃ o
33391	wold-SeliceRomani	shovel	l a p a t a
33392	wold-SeliceRomani	hoe	k a p a
33393	wold-SeliceRomani	pitchfork	v e l l a
33394	wold-SeliceRomani	rake	g e r e b l e
33395	wold-SeliceRomani	sowseeds	tʃʰ i v e n
33396	wold-SeliceRomani	seed	m a g o
33397	wold-SeliceRomani	mow	k a s a l i n e n
33398	wold-SeliceRomani	sickleorscythe	ʃ a l l o
33399	wold-SeliceRomani	sickleorscythe	k a s a
33400	wold-SeliceRomani	harvestorharvestseason	a r a t a ʃ i
33401	wold-SeliceRomani	grain	g a b o n a
33402	wold-SeliceRomani	grain	s e m o
33403	wold-SeliceRomani	wheat	ʃ u ʒ o + j i v
33404	wold-SeliceRomani	barley	a r p a
33405	wold-SeliceRomani	rye	r o ʒ o
33406	wold-SeliceRomani	oat	z a b o
33407	wold-SeliceRomani	maize	b o b o
33408	wold-SeliceRomani	rice	r i ʒ a
33409	wold-SeliceRomani	grass	m e z o
33410	wold-SeliceRomani	hay	s i n a
33411	wold-SeliceRomani	plantvegetation	z e l e n i p e
33412	wold-SeliceRomani	plantsomething	i t e t i n e n
33413	wold-SeliceRomani	root	t e v o
33414	wold-SeliceRomani	branchortwig	a g a
33415	wold-SeliceRomani	branchortwig	f e n t o
33416	wold-SeliceRomani	leaf	l e v e l e
33417	wold-SeliceRomani	flower	v i r a g a
33418	wold-SeliceRomani	flower	l u l u dʲ i
33419	wold-SeliceRomani	tree	k a ʃ t
33420	wold-SeliceRomani	oak	t e l dʲ o
33421	wold-SeliceRomani	beech	b i k o
33422	wold-SeliceRomani	acorn	m a kː o
33423	wold-SeliceRomani	vine	s e l l o
33424	wold-SeliceRomani	tobacco	d u h a n o
33425	wold-SeliceRomani	smokeinhale	c i g a r e tː a z i n e n
33426	wold-SeliceRomani	smokeinhale	p i j e n
33427	wold-SeliceRomani	pipe	p i p a
33428	wold-SeliceRomani	treestump	t e k o
33429	wold-SeliceRomani	treetrunk	t e r tʃ o
33430	wold-SeliceRomani	bark	c i p a
33431	wold-SeliceRomani	sap	e ɲ v a
33432	wold-SeliceRomani	palmtree	p a l m a
33433	wold-SeliceRomani	coconut	k o k o s i
33434	wold-SeliceRomani	citrusfruit	c i t r o ɲ i
33435	wold-SeliceRomani	citrusfruit	n a r a n tʃ i
33436	wold-SeliceRomani	banana	b a n a n o
33437	wold-SeliceRomani	gourd	d u d u m
33438	wold-SeliceRomani	pumpkin	d u d u m
33439	wold-SeliceRomani	bamboo	b a m b u s i
33440	wold-SeliceRomani	sugarcane	c u k o r n a d o
33441	wold-SeliceRomani	nettle	tʃ o v a ɲ i
33442	wold-SeliceRomani	mushroom	h u h u r
33443	wold-SeliceRomani	do	k e r e n
33444	wold-SeliceRomani	worklabour	b u t i
33445	wold-SeliceRomani	worklabour	d o g o z i n e n
33446	wold-SeliceRomani	bend	b a n dʲ a r e n
33447	wold-SeliceRomani	fold	h a j t i n e n
33448	wold-SeliceRomani	tie	pʰ a n d e n
33449	wold-SeliceRomani	untie	pʰ a n d e n + a r i
33450	wold-SeliceRomani	chain	l a n c o
33451	wold-SeliceRomani	rope	ʃ e l l o
33452	wold-SeliceRomani	knot	tʃ o m o
33453	wold-SeliceRomani	strikeorbeat	m a r e n
33454	wold-SeliceRomani	strikeorbeat	tʃ a l a v e n
33455	wold-SeliceRomani	strikeorbeat	p e k e n
33456	wold-SeliceRomani	pound	tʃ a l a v e n
33457	wold-SeliceRomani	cut	tʃʰ i n e n
33458	wold-SeliceRomani	cut	ɲ i r i n e n
33459	wold-SeliceRomani	cut	tʃ u r e n
33460	wold-SeliceRomani	cutdown	tʃʰ o r e n + t e l e
33461	wold-SeliceRomani	chop	tʃʰ i n g e r e n
33462	wold-SeliceRomani	chop	s a ɲ a r e n
33463	wold-SeliceRomani	stabtodeath	pʰ o s a v e n
33464	wold-SeliceRomani	knife	tʃʰ u r i
33465	wold-SeliceRomani	shears	a l l o
33466	wold-SeliceRomani	axe	t o v e r
33467	wold-SeliceRomani	breakdestroyorgetdestroyed	pʰ a g e n
33468	wold-SeliceRomani	brokennotworking	r u m i m e
33469	wold-SeliceRomani	brokennotworking	pʰ a g o
33470	wold-SeliceRomani	split	tʃʰ i n e n + s i t
33471	wold-SeliceRomani	tearshred	pʰ a r a v e n
33472	wold-SeliceRomani	statue	s o b r o
33473	wold-SeliceRomani	pulloffskin	k u ʃ e n
33474	wold-SeliceRomani	rub	d e r g e l i n e n
33475	wold-SeliceRomani	stretch	c i d e n + a r i
33476	wold-SeliceRomani	stretch	c i d e n + s i t
33477	wold-SeliceRomani	pull	c i d e n
33478	wold-SeliceRomani	spreadout	c i d e n + a r i
33479	wold-SeliceRomani	hangup	a k a s t i n e n
33480	wold-SeliceRomani	press	ɲ o m i n e n
33481	wold-SeliceRomani	squeeze	ɲ u z i n e n
33482	wold-SeliceRomani	squeeze	ɲ o m i n e n
33483	wold-SeliceRomani	squeeze	ɲ o m k o d i n e n
33484	wold-SeliceRomani	pour	tʃʰ o r e n
33485	wold-SeliceRomani	wash	tʰ o v e n
33486	wold-SeliceRomani	sweep	ʃ e p r i n e n
33487	wold-SeliceRomani	broom	ʃ e p r u
33488	wold-SeliceRomani	tool	s e r s a m o
33489	wold-SeliceRomani	carpenter	a tʃ o
33490	wold-SeliceRomani	build	i p i t i n e n
33491	wold-SeliceRomani	bore	f u r i n e n
33492	wold-SeliceRomani	hollowout	v i ʃ i n e n
33493	wold-SeliceRomani	saw	f i r i s i
33494	wold-SeliceRomani	hammer	k a l a p a tʃ i
33495	wold-SeliceRomani	nailtool	k l i n c o
33496	wold-SeliceRomani	glue	r a g a s t o
33497	wold-SeliceRomani	blacksmith	k o v a tʃ i
33498	wold-SeliceRomani	anvil	i l l o
33499	wold-SeliceRomani	anvil	a m o ɲ i
33500	wold-SeliceRomani	cast	tʃʰ o r e n
33501	wold-SeliceRomani	gold	s o m n a k a j
33502	wold-SeliceRomani	gold	a r a ɲ o
33503	wold-SeliceRomani	silver	e z i ʃ t o
33504	wold-SeliceRomani	iron	t r a s t
33505	wold-SeliceRomani	leadchemicalelement	o l m o
33506	wold-SeliceRomani	tinortinplate	c i n o
33507	wold-SeliceRomani	tinortinplate	p l e h o
33508	wold-SeliceRomani	clay	pʰ u
33509	wold-SeliceRomani	clay	a dʲ a g o
33510	wold-SeliceRomani	glass	c a k l o
33511	wold-SeliceRomani	braidverborweavebasket	kʰ u v e n
33512	wold-SeliceRomani	basket	k o ʃ a r a
33513	wold-SeliceRomani	mat	s e ɲ e g o
33514	wold-SeliceRomani	rug	s e ɲ e g o
33515	wold-SeliceRomani	netbag	c e kː e r i
33516	wold-SeliceRomani	fanobject	l e dʲ e z o
33517	wold-SeliceRomani	fanaction	l e dʲ e z i n e n
33518	wold-SeliceRomani	fanaction	b a l v a j a r e n
33519	wold-SeliceRomani	carve	f a r a g i n e n
33520	wold-SeliceRomani	sculptor	s o b r a s i
33521	wold-SeliceRomani	chisel	v i ʃ o
33522	wold-SeliceRomani	paintpigments	f e ʃ t i k o
33523	wold-SeliceRomani	painting	f e ʃ t i n e n
33524	wold-SeliceRomani	move	m o z g i n e n
33525	wold-SeliceRomani	move	m o z g a t i n e l
33526	wold-SeliceRomani	move	m o z d i t i n e n
33527	wold-SeliceRomani	turnaround	i r i n dʲ o n
33528	wold-SeliceRomani	turnaround	i r i n e n + p e
33529	wold-SeliceRomani	wrap	tʃ o m a g o l i n e n
33530	wold-SeliceRomani	roll	u ʃ i n e n
33531	wold-SeliceRomani	roll	ʃ o d r i n e n
33532	wold-SeliceRomani	roll	dʲ u r i n e n
33533	wold-SeliceRomani	roll	g u r i t i n e n
33534	wold-SeliceRomani	dropsomething	m u k e n
33535	wold-SeliceRomani	twistaround	tʃ a v a r i n e n
33536	wold-SeliceRomani	twistaround	ʃ o d r i n e n
33537	wold-SeliceRomani	risemoveupwards	u ʃ tʲ e n
33538	wold-SeliceRomani	risemoveupwards	d ʒ a n + u p r e
33539	wold-SeliceRomani	lift	e m e l i n e n
33540	wold-SeliceRomani	lift	v a z d e n
33541	wold-SeliceRomani	fall	p e r e n
33542	wold-SeliceRomani	dripemitliquid	tʃ e p e g i n e n
33543	wold-SeliceRomani	throw	tʃʰ i d e n
33544	wold-SeliceRomani	catch	a s t a r e n
33545	wold-SeliceRomani	catch	u ʃ t i d e n
33546	wold-SeliceRomani	shake	r e z d a v e n
33547	wold-SeliceRomani	shake	t r e s i n e n
33548	wold-SeliceRomani	flow	tʃ u j o n
33549	wold-SeliceRomani	sinkdescend	b u k i n e n
33550	wold-SeliceRomani	float	d ʒ a n
33551	wold-SeliceRomani	swim	u s i n e n
33552	wold-SeliceRomani	dive	b u k i n e n
33553	wold-SeliceRomani	splash	f r e tʃː e l i n e n
33554	wold-SeliceRomani	flymovethroughair	r e p i l i n e n
33555	wold-SeliceRomani	blowofwind	pʰ u d e n
33556	wold-SeliceRomani	crawlorcreep	tʲ u s i n e n
33557	wold-SeliceRomani	crawlorcreep	m a s i n e n
33558	wold-SeliceRomani	kneel	t e r b e k e l i n e n
33559	wold-SeliceRomani	crouch	g u g o l i n e n
33560	wold-SeliceRomani	slip	tʲ u s i n e n
33561	wold-SeliceRomani	jump	u ʃ tʲ e n
33562	wold-SeliceRomani	kick	p r u tʲ i n e n
33563	wold-SeliceRomani	dance	kʰ e l e n
33564	wold-SeliceRomani	walk	pʰ i r e n
33565	wold-SeliceRomani	walk	ʃ e t a l i n e n
33566	wold-SeliceRomani	limp	b a n dʲ o n
33567	wold-SeliceRomani	run	n a ʃ e n
33568	wold-SeliceRomani	go	d ʒ a n
33569	wold-SeliceRomani	go	pʰ i r e n
33570	wold-SeliceRomani	goupascend	d ʒ a n + u p r e
33571	wold-SeliceRomani	climb	m a s i n e n
33572	wold-SeliceRomani	godowndescend	d ʒ a n + t e l e
33573	wold-SeliceRomani	goout	d ʒ a n + a r i
33574	wold-SeliceRomani	come	a v e n
33575	wold-SeliceRomani	comeback	a v e n + p a l e
33576	wold-SeliceRomani	leave	d ʒ a n
33577	wold-SeliceRomani	leave	d ʒ a n + p e s k e
33578	wold-SeliceRomani	disappear	n a ʃː o n
33579	wold-SeliceRomani	disappear	t i l i n e n
33580	wold-SeliceRomani	flee	tʃʰ i v e n + p e
33581	wold-SeliceRomani	pursue	ɲ o m o z i n e n
33582	wold-SeliceRomani	pursue	l e ʃ i n e n
33583	wold-SeliceRomani	arrive	r e s e n
33584	wold-SeliceRomani	approach	r e s a dʲ o n
33585	wold-SeliceRomani	enter	a v e n + a n d e
33586	wold-SeliceRomani	enter	d ʒ a n + a n d e
33587	wold-SeliceRomani	carry	pʰ i r a v e n
33588	wold-SeliceRomani	carry	l e d ʒ e n
33589	wold-SeliceRomani	bring	a n e n
33590	wold-SeliceRomani	send	b i tʃʰ a v e n
33591	wold-SeliceRomani	leadguide	l e d ʒ e n
33592	wold-SeliceRomani	drive	v e z e t i n e n
33593	wold-SeliceRomani	drive	t r a d e n
33594	wold-SeliceRomani	ride	pʰ i r e n
33595	wold-SeliceRomani	push	ɲ o m i n e n
33596	wold-SeliceRomani	push	d e f i n e n
33597	wold-SeliceRomani	push	t o l i n e n
33598	wold-SeliceRomani	road	d r o m
33599	wold-SeliceRomani	road	o r s a g u t o
33600	wold-SeliceRomani	path	d r o m
33601	wold-SeliceRomani	bridge	h i d a
33602	wold-SeliceRomani	cart	k o tʃ i
33603	wold-SeliceRomani	cart	v e r d a
33604	wold-SeliceRomani	wheel	k e r e k o
33605	wold-SeliceRomani	wheel	k o r m a ɲ i
33606	wold-SeliceRomani	axle	t e n g o
33607	wold-SeliceRomani	ship	h a j o
33608	wold-SeliceRomani	boat	tʃ o n a k o
33609	wold-SeliceRomani	boat	l a d i k o
33610	wold-SeliceRomani	raft	k o m p o
33611	wold-SeliceRomani	oar	e v e d z o
33612	wold-SeliceRomani	paddle	e v e d z o
33613	wold-SeliceRomani	row	e v e d z i n e n
33614	wold-SeliceRomani	rudder	h a j o k o r m a ɲ i
33615	wold-SeliceRomani	rudder	h a j o s k e r o + k o r m a ɲ i
33616	wold-SeliceRomani	rudder	k o r m a ɲ i
33617	wold-SeliceRomani	sailcloth	p l a s t a
33618	wold-SeliceRomani	anchor	m a tʃ k a
33619	wold-SeliceRomani	landdescend	t e r dʲ o n
33620	wold-SeliceRomani	take	l e n
33621	wold-SeliceRomani	seize	a s t a r e n
33622	wold-SeliceRomani	seize	i s p i d e n
33623	wold-SeliceRomani	seize	u ʃ t i d e n
33624	wold-SeliceRomani	hold	i k r e n
33625	wold-SeliceRomani	get	u ʃ t i d e n
33626	wold-SeliceRomani	keep	m u k e n
33627	wold-SeliceRomani	keep	i k r e n
33628	wold-SeliceRomani	thing	b u t i
33629	wold-SeliceRomani	give	d e n
33630	wold-SeliceRomani	giveback	d e n + p a l e
33631	wold-SeliceRomani	preserve	i k r e n
33632	wold-SeliceRomani	rescue	m e n t i n e n
33633	wold-SeliceRomani	destroy	ʃ e mː i ʃː i t i n e n
33634	wold-SeliceRomani	destroy	tʰ o v e n + t e n k r e
33635	wold-SeliceRomani	injure	m a r e n
33636	wold-SeliceRomani	lookfor	r o d e n
33637	wold-SeliceRomani	find	a l a kʰ e n
33638	wold-SeliceRomani	misplace	n a ʃ a v e n
33639	wold-SeliceRomani	letgoorsetfree	m u k e n
33640	wold-SeliceRomani	money	l o v o
33641	wold-SeliceRomani	coin	l o v o
33642	wold-SeliceRomani	rich	b a r v a l o
33643	wold-SeliceRomani	poor	tʃ o r o
33644	wold-SeliceRomani	beggar	k o d u ʃ i
33645	wold-SeliceRomani	stingy	ʒ u g o r o t n o
33646	wold-SeliceRomani	stingy	ʒ u v a r n o
33647	wold-SeliceRomani	lend	d e n + k e tʃ e n
33648	wold-SeliceRomani	borrow	l e n + k e tʃ e n
33649	wold-SeliceRomani	owe	k a m e n
33650	wold-SeliceRomani	debt	k e tʃ e n o
33651	wold-SeliceRomani	pay	p o tʲ i n e n
33652	wold-SeliceRomani	bill	s a m l a
33653	wold-SeliceRomani	bill	u tʃ e t o
33654	wold-SeliceRomani	tax	s a z o l l i k o
33655	wold-SeliceRomani	tax	d a ɲ e
33656	wold-SeliceRomani	wages	p o tʲ i n i b e
33657	wold-SeliceRomani	wages	f i z e t i ʃ i
33658	wold-SeliceRomani	wages	o r a b i r o
33659	wold-SeliceRomani	earn	r o d e n
33660	wold-SeliceRomani	buy	tʲ i n e n
33661	wold-SeliceRomani	sell	b i k n e n
33662	wold-SeliceRomani	tradeorbarter	p a r u v e n
33663	wold-SeliceRomani	tradeorbarter	k e r e ʃ k e d i n e n
33664	wold-SeliceRomani	tradeorbarter	k o f a z i n e n
33665	wold-SeliceRomani	tradeorbarter	ʃ e f t e l i n e n
33666	wold-SeliceRomani	merchant	k e r e ʃ k e d o
33667	wold-SeliceRomani	merchant	k o f a
33668	wold-SeliceRomani	market	p i j a r c i
33669	wold-SeliceRomani	store	b o t a
33670	wold-SeliceRomani	store	i z l e t o
33671	wold-SeliceRomani	price	i r t i k o
33672	wold-SeliceRomani	expensive	k u tʃ
33673	wold-SeliceRomani	cheap	o tʃ o n o
33674	wold-SeliceRomani	share	u l a v e n
33675	wold-SeliceRomani	after	p a l
33676	wold-SeliceRomani	behind	p a l
33677	wold-SeliceRomani	beside	p a ʃ
33678	wold-SeliceRomani	beside	u z e
33679	wold-SeliceRomani	down	t e l e
33680	wold-SeliceRomani	down	t e l a l
